timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T11:58:21.440798,train,severstal,96,fine_tuned_sam2_severstal_full_javi,0.0419,,,,,,
2025-04-29T11:58:21.497813,train,severstal,97,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.552293,train,severstal,98,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.609418,train,severstal,99,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.665045,train,severstal,100,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.716558,train,severstal,101,fine_tuned_sam2_severstal_full_javi,0.004,,,,,,
2025-04-29T11:58:21.772489,train,severstal,102,fine_tuned_sam2_severstal_full_javi,1e-04,,,,,,
2025-04-29T11:58:21.831074,train,severstal,103,fine_tuned_sam2_severstal_full_javi,1e-04,,,,,,
2025-04-29T11:58:21.886152,train,severstal,104,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.939142,train,severstal,105,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:21.996419,train,severstal,106,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.052199,train,severstal,107,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.111971,train,severstal,108,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.163497,train,severstal,109,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.216123,train,severstal,110,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.265787,train,severstal,111,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.321653,train,severstal,112,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.371892,train,severstal,113,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.428210,train,severstal,114,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.498227,train,severstal,115,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.557810,train,severstal,116,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.609996,train,severstal,117,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.661315,train,severstal,118,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.717789,train,severstal,119,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.776182,train,severstal,120,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.829872,train,severstal,121,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.924959,train,severstal,122,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:22.985863,train,severstal,123,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
